journal_name	abbr_name	issn	eissn	impact_factor	impact_factor_5_year	category	jcr_quartile	rank	total_num_of_journals
CA-A CANCER JOURNAL FOR CLINICIANS	CA-CANCER J CLIN	0007-9235	1542-4863	503.1	297.0	ONCOLOGY	Q1	1	322
NATURE REVIEWS DRUG DISCOVERY	NAT REV DRUG DISCOV	1474-1776	1474-1784	122.7	114.9	PHARMACOLOGY & PHARMACY	Q1	1	354
LANCET	LANCET	0140-6736	1474-547X	98.4	106.9	MEDICINE, GENERAL & INTERNAL	Q1	1	325
NEW ENGLAND JOURNAL OF MEDICINE	NEW ENGL J MED	0028-4793	1533-4406	96.2	94.3	MEDICINE, GENERAL & INTERNAL	Q1	2	325
BMJ-British Medical Journal	BMJ-BRIT MED J	0959-535X	1756-1833	93.6	69.9	MEDICINE, GENERAL & INTERNAL	Q1	3	325
NATURE REVIEWS MOLECULAR CELL BIOLOGY	NAT REV MOL CELL BIO	1471-0072	1471-0080	81.3	115.5	CELL BIOLOGY	Q1	1	205
Nature Reviews Clinical Oncology	NAT REV CLIN ONCOL	1759-4774	1759-4782	81.1	81.5	ONCOLOGY	Q1	2	322
Nature Reviews Materials	NAT REV MATER	2058-8437	2058-8437	79.8	85.7	NANOSCIENCE & NANOTECHNOLOGY	Q1	1	140
Nature Reviews Disease Primers	NAT REV DIS PRIMERS	2056-676X	2056-676X	76.9	92.6	MEDICINE, GENERAL & INTERNAL	Q1	4	325
NATURE REVIEWS CANCER	NAT REV CANCER	1474-175X	1474-1768	72.5	77.2	ONCOLOGY	Q1	3	322
NATURE REVIEWS MICROBIOLOGY	NAT REV MICROBIOL	1740-1526	1740-1534	69.2	81.3	MICROBIOLOGY	Q1	1	161
NATURE REVIEWS IMMUNOLOGY	NAT REV IMMUNOL	1474-1733	1474-1741	67.7	78.1	IMMUNOLOGY	Q1	1	181
Foundations and Trends in Machine Learning	FOUND TRENDS MACH LE	1935-8237	1935-8245	65.3	70.8	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	Q1	1	197
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	JAMA-J AM MED ASSOC	0098-7484	1538-3598	63.1	66.8	MEDICINE, GENERAL & INTERNAL	Q1	5	325
World Psychiatry	WORLD PSYCHIATRY	1723-8617	2051-5545	60.5	55.5	PSYCHIATRY	Q1	1	276
NATURE MEDICINE	NAT MED	1078-8956	1546-170X	58.7	59.2	MEDICINE, RESEARCH & EXPERIMENTAL	Q1	1	189
ANNALS OF ONCOLOGY	ANN ONCOL	0923-7534	1569-8041	56.7	38.2	ONCOLOGY	Q1	4	322
CHEMICAL REVIEWS	CHEM REV	0009-2665	1520-6890	51.4	63.5	CHEMISTRY, MULTIDISCIPLINARY	Q1	1	230
NATURE	NATURE	0028-0836	1476-4687	50.5	54.4	MULTIDISCIPLINARY SCIENCES	Q1	1	134
Nature Reviews Methods Primers	NAT REV METHOD PRIME		2662-8449	50.1	50.1	MULTIDISCIPLINARY SCIENCES	Q1	2	134
Nature Energy	NAT ENERGY	2058-7546	2058-7546	49.7	62.3	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	2	438
Nature Reviews Earth & Environment	NAT REV EARTH ENV		2662-138X	49.7	54.5	GEOSCIENCES, MULTIDISCIPLINARY	Q1	1	253
CANCER CELL	CANCER CELL	1535-6108	1878-3686	48.8	42.1	ONCOLOGY	Q1	5	322
LANCET NEUROLOGY	LANCET NEUROL	1474-4422	1474-4465	46.5	51.6	CLINICAL NEUROLOGY	Q1	1	277
Nature Reviews Gastroenterology & Hepatology	NAT REV GASTRO HEPAT	1759-5045	1759-5053	45.9	65.1	GASTROENTEROLOGY & HEPATOLOGY	Q1	1	143
REVIEWS OF MODERN PHYSICS	REV MOD PHYS	0034-6861	1539-0756	45.9	52.1	PHYSICS, MULTIDISCIPLINARY	Q1	1	110
CELL	CELL	0092-8674	1097-4172	45.5	49.0	CELL BIOLOGY	Q1	4	205
Nature Reviews Physics	NAT REV PHYS		2522-5820	44.8	44.6	PHYSICS, MULTIDISCIPLINARY	Q1	2	110
SCIENCE	SCIENCE	0036-8075	1095-9203	44.7	50.3	MULTIDISCIPLINARY SCIENCES	Q1	3	134
Lancet Diabetes & Endocrinology	LANCET DIABETES ENDO	2213-8587	2213-8595	44.0	38.2	ENDOCRINOLOGY & METABOLISM	Q1	1	186
eScience	ESCIENCE		2667-1417	42.9	42.9	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	3	438
Nature Catalysis	NAT CATAL	2520-1158	2520-1158	42.8	47.0	CHEMISTRY, PHYSICAL	Q1	1	178
JOURNAL OF CLINICAL ONCOLOGY	J CLIN ONCOL	0732-183X	1527-7755	42.1	37.4	ONCOLOGY	Q1	6	322
Nature Reviews Cardiology	NAT REV CARDIOL	1759-5002	1759-5010	41.7	46.5	CARDIAC & CARDIOVASCULAR SYSTEMS	Q1	1	220
LANCET ONCOLOGY	LANCET ONCOL	1470-2045	1474-5488	41.6	42.2	ONCOLOGY	Q1	7	322
Signal Transduction and Targeted Therapy	SIGNAL TRANSDUCT TAR	2095-9907	2059-3635	40.8	40.5	CELL BIOLOGY	Q1	5	205
CHEMICAL SOCIETY REVIEWS	CHEM SOC REV	0306-0012	1460-4744	40.4	48.1	CHEMISTRY, MULTIDISCIPLINARY	Q1	2	230
NATURE REVIEWS GENETICS	NAT REV GENET	1471-0056	1471-0064	39.1	52.3	GENETICS & HEREDITY	Q1	1	191
Lancet Respiratory Medicine	LANCET RESP MED	2213-2600		38.7	41.3	RESPIRATORY SYSTEM	Q1	1	100
Joule	JOULE	2542-4351	2542-4351	38.6	44.8	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	4	438
Nature Nanotechnology	NAT NANOTECHNOL	1748-3387	1748-3395	38.1	39.6	NANOSCIENCE & NANOTECHNOLOGY	Q1	2	140
Nature Reviews Chemistry	NAT REV CHEM		2397-3358	38.1	39.6	CHEMISTRY, MULTIDISCIPLINARY	Q1	3	230
EUROPEAN HEART JOURNAL	EUR HEART J	0195-668X	1522-9645	37.6	32.6	CARDIAC & CARDIOVASCULAR SYSTEMS	Q1	2	220
MMWR Surveillance Summaries	MMWR SURVEILL SUMM	1545-8636	1545-8636	37.3	30.2	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q1	1	403
NATURE MATERIALS	NAT MATER	1476-1122	1476-4660	37.2	44.0	PHYSICS, CONDENSED MATTER	Q1	1	79
LANCET INFECTIOUS DISEASES	LANCET INFECT DIS	1473-3099	1474-4457	36.4	32.4	INFECTIOUS DISEASES	Q1	1	132
NATURE METHODS	NAT METHODS	1548-7091	1548-7105	36.1	45.6	BIOCHEMICAL RESEARCH METHODS	Q1	1	85
CIRCULATION	CIRCULATION	0009-7322	1524-4539	35.5	32.7	PERIPHERAL VASCULAR DISEASE	Q1	1	96
ADVANCES IN PHYSICS	ADV PHYS	0001-8732	1460-6976	35.0	41.3	PHYSICS, CONDENSED MATTER	Q1	2	79
IEEE Communications Surveys and Tutorials	IEEE COMMUN SURV TUT		1553-877X	34.4	34.0	TELECOMMUNICATIONS	Q1	1	119
Nature Electronics	NAT ELECTRON	2520-1131	2520-1131	33.7	39.2	ENGINEERING, ELECTRICAL & ELECTRONIC	Q1	1	352
PROGRESS IN MATERIALS SCIENCE	PROG MATER SCI	0079-6425	1873-2208	33.6	41.2	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	7	438
Innovation	INNOVATION-AMSTERDAM	2666-6758	2666-6758	33.2	31.8	MULTIDISCIPLINARY SCIENCES	Q1	4	134
NATURE BIOTECHNOLOGY	NAT BIOTECHNOL	1087-0156	1546-1696	33.1	56.9	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	Q1	2	174
Energy & Environmental Science	ENERG ENVIRON SCI	1754-5692	1754-5706	32.4	34.5	ENVIRONMENTAL SCIENCES	Q1	2	358
Nature Photonics	NAT PHOTONICS	1749-4885	1749-4893	32.3	35.8	PHYSICS, APPLIED	Q1	3	179
PROGRESS IN ENERGY AND COMBUSTION SCIENCE	PROG ENERG COMBUST	0360-1285	1873-216X	32.0	36.8	THERMODYNAMICS	Q1	1	76
NATURE GENETICS	NAT GENET	1061-4036	1546-1718	31.7	36.6	GENETICS & HEREDITY	Q1	2	191
Nano-Micro Letters	NANO-MICRO LETT	2311-6706	2150-5551	31.6	26.0	PHYSICS, APPLIED	Q1	4	179
MATERIALS SCIENCE & ENGINEERING R-REPORTS	MAT SCI ENG R	0927-796X	1879-212X	31.6	34.3	PHYSICS, APPLIED	Q1	4	179
Nature Reviews Endocrinology	NAT REV ENDOCRINOL	1759-5029	1759-5037	31.0	46.8	ENDOCRINOLOGY & METABOLISM	Q1	2	186
Lancet Gastroenterology & Hepatology	LANCET GASTROENTEROL		2468-1253	30.9	29.6	GASTROENTEROLOGY & HEPATOLOGY	Q1	2	143
Lancet Psychiatry	LANCET PSYCHIAT	2215-0374		30.8	36.8	PSYCHIATRY	Q1	2	276
Physiological Reviews	PHYSIOL REV	0031-9333	1522-1210	29.9	45.0	PHYSIOLOGY	Q1	1	85
Cancer Discovery	CANCER DISCOV	2159-8274	2159-8290	29.7	32.4	ONCOLOGY	Q1	8	322
Nature Climate Change	NAT CLIM CHANGE	1758-678X	1758-6798	29.6	31.1	METEOROLOGY & ATMOSPHERIC SCIENCES	Q1	1	110
Journal of Hematology & Oncology	J HEMATOL ONCOL		1756-8722	29.5	26.9	ONCOLOGY	Q1	9	322
Nature Reviews Rheumatology	NAT REV RHEUMATOL	1759-4790	1759-4804	29.4	30.6	RHEUMATOLOGY	Q1	1	57
NATURE REVIEWS NEUROSCIENCE	NAT REV NEUROSCI	1471-003X	1471-0048	28.7	37.4	NEUROSCIENCES	Q1	2	310
Advanced Powder Materials	ADV POWDER MATER		2772-834X	28.6	28.6	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	10	438
Nature Reviews Nephrology	NAT REV NEPHROL	1759-5061	1759-507X	28.6	40.0	UROLOGY & NEPHROLOGY	Q1	1	126
Annual Review of Pathology-Mechanisms of Disease	ANNU REV PATHOL-MECH	1553-4006	1553-4014	28.4	35.2	PATHOLOGY	Q1	1	88
Electrochemical Energy Reviews	ELECTROCHEM ENERGY R	2520-8489	2520-8136	28.4	30.1	ELECTROCHEMISTRY	Q1	2	45
Nature Reviews Neurology	NAT REV NEUROL	1759-4758	1759-4766	28.2	43.7	CLINICAL NEUROLOGY	Q1	2	277
CELL RESEARCH	CELL RES	1001-0602	1748-7838	28.1	36.4	CELL BIOLOGY	Q1	6	205
ASTRONOMY AND ASTROPHYSICS REVIEW	ASTRON ASTROPHYS REV	0935-4956	1432-0754	27.8	29.1	ASTRONOMY & ASTROPHYSICS	Q1	1	84
Cell Metabolism	CELL METAB	1550-4131	1932-7420	27.7	31.2	ENDOCRINOLOGY & METABOLISM	Q1	3	186
Molecular Cancer	MOL CANCER		1476-4598	27.7	31.3	ONCOLOGY	Q1	10	322
NATURE IMMUNOLOGY	NAT IMMUNOL	1529-2908	1529-2916	27.7	28.3	IMMUNOLOGY	Q1	2	181
ADVANCED MATERIALS	ADV MATER	0935-9648	1521-4095	27.4	30.2	PHYSICS, CONDENSED MATTER	Q1	3	79
eLight	ELIGHT	2097-1710	2662-8643	27.2	27.2	OPTICS	Q1	2	119
INTENSIVE CARE MEDICINE	INTENS CARE MED	0342-4642	1432-1238	27.1	24.0	CRITICAL CARE MEDICINE	Q1	2	54
Annual Review of Immunology	ANNU REV IMMUNOL	0732-0582	1545-3278	26.9	32.0	IMMUNOLOGY	Q1	3	181
JOURNAL OF HEPATOLOGY	J HEPATOL	0168-8278	1600-0641	26.8	28.0	GASTROENTEROLOGY & HEPATOLOGY	Q1	3	143
Nature Biomedical Engineering	NAT BIOMED ENG	2157-846X	2157-846X	26.8	29.2	ENGINEERING, BIOMEDICAL	Q1	1	122
Living Reviews in Relativity	LIVING REV RELATIV	2367-3613	1433-8351	26.3	37.9	PHYSICS, PARTICLES & FIELDS	Q1	1	30
Annual Review of Astronomy and Astrophysics	ANNU REV ASTRON ASTR	0066-4146	1545-4282	26.3	36.7	ASTRONOMY & ASTROPHYSICS	Q1	2	84
Science Robotics	SCI ROBOT	2470-9476	2470-9476	26.1	33.7	ROBOTICS	Q1	1	46
PROGRESS IN POLYMER SCIENCE	PROG POLYM SCI	0079-6700	1873-1619	26.0	29.5	POLYMER SCIENCE	Q1	1	94
Gastroenterology	GASTROENTEROLOGY	0016-5085	1528-0012	25.7	25.2	GASTROENTEROLOGY & HEPATOLOGY	Q1	4	143
Nature Sustainability	NAT SUSTAIN	2398-9629	2398-9629	25.7	29.9	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY	Q1	1	91
Immunity	IMMUNITY	1074-7613	1097-4180	25.5	33.2	IMMUNOLOGY	Q1	4	181
Lancet Public Health	LANCET PUBLIC HEALTH	2468-2667	2468-2667	25.4	29.9	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q1	2	403
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	MMWR-MORBID MORTAL W	0149-2195	1545-861X	25.4	18.5	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q1	2	403
Annual Review of Fluid Mechanics	ANNU REV FLUID MECH	0066-4189	1545-4479	25.4	26.8	PHYSICS, FLUIDS & PLASMAS	Q1	1	40
EUROPEAN UROLOGY	EUR UROL	0302-2838	1873-7560	25.3	19.4	UROLOGY & NEPHROLOGY	Q1	2	126
REVIEWS OF GEOPHYSICS	REV GEOPHYS	8755-1209	1944-9208	25.2	32.5	GEOCHEMISTRY & GEOPHYSICS	Q1	1	101
Advances in Optics and Photonics	ADV OPT PHOTONICS	1943-8206		25.2	25.8	OPTICS	Q1	3	119
JAMA Pediatrics	JAMA PEDIATR	2168-6203	2168-6211	24.7	20.4	PEDIATRICS	Q1	1	186
FUNGAL DIVERSITY	FUNGAL DIVERS	1560-2745	1878-9129	24.5	24.1	MYCOLOGY	Q1	1	33
Interdisciplinary Materials	INTERD MATER	2767-4401	2767-441X	24.5	24.7	PHYSICS, APPLIED	Q1	7	179
Advanced Energy Materials	ADV ENERGY MATER	1614-6832	1614-6840	24.4	27.2	PHYSICS, CONDENSED MATTER	Q1	4	79
Lancet Planetary Health	LANCET PLANET HEALTH		2542-5196	24.1	25.6	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q1	4	403
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	PHYS REP	0370-1573	1873-6270	23.9	25.7	PHYSICS, MULTIDISCIPLINARY	Q1	3	110
Lancet Digital Health	LANCET DIGIT HEALTH		2589-7500	23.8	27.7	MEDICINE, GENERAL & INTERNAL	Q1	6	325
ACM COMPUTING SURVEYS	ACM COMPUT SURV	0360-0300	1557-7341	23.8	21.1	COMPUTER SCIENCE, THEORY & METHODS	Q1	1	143
iMeta	IMETA	2770-5986	2770-596X	23.7	23.7	MICROBIOLOGY	Q1	2	161
Annual Review of Psychology	ANNU REV PSYCHOL	0066-4308	1545-2085	23.6	27.9	PSYCHOLOGY, MULTIDISCIPLINARY	Q1	1	218
Nature Food	NAT FOOD		2662-1355	23.6	25.0	FOOD SCIENCE & TECHNOLOGY	Q1	1	173
Nature Cancer	NAT CANCER		2662-1347	23.5	24.6	ONCOLOGY	Q1	11	322
PROCEEDINGS OF THE IEEE	P IEEE	0018-9219	1558-2256	23.2	18.4	ENGINEERING, ELECTRICAL & ELECTRONIC	Q1	2	352
Advanced Composites and Hybrid Materials	ADV COMPOS HYBRID MA	2522-0128	2522-0136	23.2	17.7	NANOSCIENCE & NANOTECHNOLOGY	Q1	5	140
GUT	GUT	0017-5749	1468-3288	23.0	24.5	GASTROENTEROLOGY & HEPATOLOGY	Q1	5	143
Living Reviews in Solar Physics	LIVING REV SOL PHYS	2367-3648	1614-4961	23.0	24.6	ASTRONOMY & ASTROPHYSICS	Q1	3	84
InfoMat	INFOMAT		2567-3165	22.7	21.7	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	14	438
JAMA Internal Medicine	JAMA INTERN MED	2168-6106	2168-6114	22.5	22.5	MEDICINE, GENERAL & INTERNAL	Q1	7	325
JAMA Oncology	JAMA ONCOL	2374-2437	2374-2445	22.5	25.9	ONCOLOGY	Q1	12	322
JAMA Psychiatry	JAMA PSYCHIAT	2168-622X	2168-6238	22.5	22.3	PSYCHIATRY	Q1	3	276
EnergyChem	ENERGYCHEM	2589-7780	2589-7780	22.2	25.4	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	15	438
ENDOCRINE REVIEWS	ENDOCR REV	0163-769X	1945-7189	22.0	26.5	ENDOCRINOLOGY & METABOLISM	Q1	4	186
Cellular & Molecular Immunology	CELL MOL IMMUNOL	1672-7681	2042-0226	21.8	19.9	IMMUNOLOGY	Q1	5	181
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	J AM COLL CARDIOL	0735-1097	1558-3597	21.7	24.2	CARDIAC & CARDIOVASCULAR SYSTEMS	Q1	4	220
Nature Human Behaviour	NAT HUM BEHAV	2397-3374	2397-3374	21.4	20.4	PSYCHOLOGY, EXPERIMENTAL	Q1	1	99
Annual Review of Public Health	ANNU REV PUBL HEALTH	0163-7525	1545-2093	21.4	25.7	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q1	5	403
Annual Review of Plant Biology	ANNU REV PLANT BIOL	1543-5008	1545-2123	21.3	28.2	PLANT SCIENCES	Q1	1	265
NATURE NEUROSCIENCE	NAT NEUROSCI	1097-6256	1546-1726	21.2	25.6	NEUROSCIENCES	Q1	4	310
Materials Today	MATER TODAY	1369-7021	1873-4103	21.1	25.4	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	16	438
Journal of Thoracic Oncology	J THORAC ONCOL	1556-0864	1556-1380	21.0	16.5	RESPIRATORY SYSTEM	Q1	2	100
BLOOD	BLOOD	0006-4971	1528-0020	21.0	19.2	HEMATOLOGY	Q1	2	97
Lancet Microbe	LANCET MICROBE		2666-5247	20.9	23.4	MICROBIOLOGY	Q1	3	161
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	IEEE T PATTERN ANAL	0162-8828	1939-3539	20.8	22.2	ENGINEERING, ELECTRICAL & ELECTRONIC	Q1	3	352
Cell Host & Microbe	CELL HOST MICROBE	1931-3128	1934-6069	20.6	22.1	VIROLOGY	Q1	1	41
Light-Science & Applications	LIGHT-SCI APPL	2095-5545	2047-7538	20.6	20.3	OPTICS	Q1	4	119
Advanced Photonics	ADV PHOTONICS		2577-5421	20.6	16.5	OPTICS	Q1	4	119
Nature Microbiology	NAT MICROBIOL	2058-5276	2058-5276	20.5	21.0	MICROBIOLOGY	Q1	5	161
JAMA Neurology	JAMA NEUROL	2168-6149	2168-6157	20.4	20.4	CLINICAL NEUROLOGY	Q1	3	277
ANNALS OF THE RHEUMATIC DISEASES	ANN RHEUM DIS	0003-4967	1468-2060	20.3	18.4	RHEUMATOLOGY	Q1	2	57
COORDINATION CHEMISTRY REVIEWS	COORDIN CHEM REV	0010-8545	1873-3840	20.3	19.9	CHEMISTRY, INORGANIC & NUCLEAR	Q1	1	44
Journal of Bioresources and Bioproducts	J BIORESOUR BIOPROD	2097-2415	2369-9698	20.2		MATERIALS SCIENCE, PAPER & WOOD	Q1	1	23
Applied Catalysis B-Environment and Energy	APPL CATAL B-ENVIRON	0926-3373	1873-3883	20.2	18.9	ENGINEERING, ENVIRONMENTAL	Q1	1	81
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT	INT J INFORM MANAGE	0268-4012	1873-4707	20.1	19.2	INFORMATION SCIENCE & LIBRARY SCIENCE	Q1	1	160
Cancer Communications	CANCER COMMUN		2523-3548	20.1	16.7	ONCOLOGY	Q1	14	322
Lancet Child & Adolescent Health	LANCET CHILD ADOLESC	2352-4642	2352-4642	19.9	19.8	PEDIATRICS	Q1	2	186
Lancet Global Health	LANCET GLOB HEALTH	2214-109X	2214-109X	19.9	26.4	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q1	6	403
Cell Stem Cell	CELL STEM CELL	1934-5909	1875-9777	19.8	22.6	CELL BIOLOGY	Q1	8	205
ANNALS OF INTERNAL MEDICINE	ANN INTERN MED	0003-4819	1539-3704	19.6	28.8	MEDICINE, GENERAL & INTERNAL	Q1	8	325
Carbon Energy	CARBON ENERGY		2637-9368	19.5	19.9	NANOSCIENCE & NANOTECHNOLOGY	Q1	6	140
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	AM J RESP CRIT CARE	1073-449X	1535-4970	19.3	20.0	RESPIRATORY SYSTEM	Q1	3	100
Kidney International Supplements	KIDNEY INT SUPPL	2157-1724	2157-1716	19.3	14.2	UROLOGY & NEPHROLOGY	Q1	3	126
ACADEMY OF MANAGEMENT REVIEW	ACAD MANAGE REV	0363-7425	1930-3807	19.3	17.1	MANAGEMENT	Q1	1	401
PHARMACOLOGICAL REVIEWS	PHARMACOL REV	0031-6997	1521-0081	19.3	22.1	PHARMACOLOGY & PHARMACY	Q1	2	354
ACS Energy Letters	ACS ENERGY LETT	2380-8195	2380-8195	19.3	20.8	NANOSCIENCE & NANOTECHNOLOGY	Q1	7	140
Nature Chemistry	NAT CHEM	1755-4330	1755-4349	19.2	22.0	CHEMISTRY, MULTIDISCIPLINARY	Q1	7	230
Chem	CHEM-US	2451-9294	2451-9294	19.1	23.8	CHEMISTRY, MULTIDISCIPLINARY	Q1	8	230
CLINICAL MICROBIOLOGY REVIEWS	CLIN MICROBIOL REV	0893-8512	1098-6618	19.0	33.8	MICROBIOLOGY	Q1	6	161
REPORTS ON PROGRESS IN PHYSICS	REP PROG PHYS	0034-4885	1361-6633	19.0	18.2	PHYSICS, MULTIDISCIPLINARY	Q1	4	110
Nature Metabolism	NAT METAB		2522-5812	18.9	21.0	ENDOCRINOLOGY & METABOLISM	Q1	5	186
Energy Storage Materials	ENERGY STORAGE MATER	2405-8297	2405-8289	18.9	18.4	NANOSCIENCE & NANOTECHNOLOGY	Q1	8	140
Nature Machine Intelligence	NAT MACH INTELL		2522-5839	18.8	26.4	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	Q1	1	169
Science Bulletin	SCI BULL	2095-9273	2095-9281	18.8	15.8	MULTIDISCIPLINARY SCIENCES	Q1	6	134
SusMat	SUSMAT	2766-8479	2692-4552	18.7	18.7	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	20	438
PROGRESS IN RETINAL AND EYE RESEARCH	PROG RETIN EYE RES	1350-9462	1873-1635	18.6	20.3	OPHTHALMOLOGY	Q1	1	95
Journal of Advanced Ceramics	J ADV CERAM	2226-4108	2227-8508	18.6	15.0	MATERIALS SCIENCE, CERAMICS	Q1	1	31
ADVANCED FUNCTIONAL MATERIALS	ADV FUNCT MATER	1616-301X	1616-3028	18.5	19.6	PHYSICS, CONDENSED MATTER	Q1	5	79
Psychological Science in the Public Interest	PSYCHOL SCI PUBL INT	1529-1006	1539-6053	18.2	40.0	PSYCHOLOGY, MULTIDISCIPLINARY	Q1	2	218
Bioactive Materials	BIOACT MATER		2452-199X	18.0	18.2	MATERIALS SCIENCE, BIOMATERIALS	Q1	1	53
Annual Review of Clinical Psychology	ANNU REV CLIN PSYCHO	1548-5943	1548-5951	17.8	21.9	PSYCHOLOGY, CLINICAL	Q1	1	180
Nature Physics	NAT PHYS	1745-2473	1745-2481	17.6	19.3	PHYSICS, MULTIDISCIPLINARY	Q1	5	110
Science Immunology	SCI IMMUNOL	2470-9468	2470-9468	17.6	19.1	IMMUNOLOGY	Q1	6	181
PERIODONTOLOGY 2000	PERIODONTOL 2000	0906-6713	1600-0757	17.5	16.8	DENTISTRY, ORAL SURGERY & MEDICINE	Q1	1	157
PSYCHOLOGICAL BULLETIN	PSYCHOL BULL	0033-2909	1939-1455	17.3	24.1	PSYCHOLOGY, MULTIDISCIPLINARY	Q1	3	218
Computational Visual Media	COMPUT VIS MEDIA	2096-0433	2096-0662	17.3		COMPUTER SCIENCE, SOFTWARE ENGINEERING	Q1	1	131
NATURE CELL BIOLOGY	NAT CELL BIOL	1465-7392	1476-4679	17.3	24.2	CELL BIOLOGY	Q1	9	205
Matter	MATTER-US	2590-2393	2590-2385	17.3	18.9	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	22	438
TRENDS IN PLANT SCIENCE	TRENDS PLANT SCI	1360-1385	1878-4372	17.3	20.1	PLANT SCIENCES	Q1	2	265
Advanced Fiber Materials	ADV FIBER MATER	2524-7921	2524-793X	17.2	15.7	MATERIALS SCIENCE, TEXTILES	Q1	1	29
IEEE Reviews in Biomedical Engineering	IEEE REV BIOMED ENG	1937-3333	1941-1189	17.2		ENGINEERING, BIOMEDICAL	Q1	3	122
Molecular Plant	MOL PLANT	1674-2052	1752-9867	17.1	21.4	PLANT SCIENCES	Q1	3	265
AMERICAN JOURNAL OF BIOETHICS	AM J BIOETHICS	1526-5161	1536-0075	17.0	12.3	SOCIAL SCIENCES, BIOMEDICAL	Q1	1	46
Nature Aging	NATURE AGING		2662-8465	17.0	17.0	NEUROSCIENCES	Q1	5	310
EUROPEAN JOURNAL OF HEART FAILURE	EUR J HEART FAIL	1388-9842	1879-0844	16.9	16.2	CARDIAC & CARDIOVASCULAR SYSTEMS	Q1	5	220
Nature Reviews Psychology	NAT REV PSYCHOL		2731-0574	16.8	16.8	PSYCHOLOGY, MULTIDISCIPLINARY	Q1	4	218
Wiley Interdisciplinary Reviews-Computational Molecular Science	WIRES COMPUT MOL SCI	1759-0876	1759-0884	16.8	20.0	MATHEMATICAL & COMPUTATIONAL BIOLOGY	Q1	1	65
Nano Energy	NANO ENERGY	2211-2855	2211-3282	16.8	16.3	PHYSICS, APPLIED	Q1	10	179
INTERNATIONAL MATERIALS REVIEWS	INT MATER REV	0950-6608	1743-2804	16.8	18.7	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	24	438
Military Medical Research	MILITARY MED RES	2095-7467	2054-9369	16.7	14.8	MEDICINE, GENERAL & INTERNAL	Q1	9	325
TRENDS IN COGNITIVE SCIENCES	TRENDS COGN SCI	1364-6613	1879-307X	16.7	21.8	PSYCHOLOGY, EXPERIMENTAL	Q1	2	99
TRENDS IN ECOLOGY & EVOLUTION	TRENDS ECOL EVOL	0169-5347	1872-8383	16.7	18.2	GENETICS & HEREDITY	Q1	3	191
BEHAVIORAL AND BRAIN SCIENCES	BEHAV BRAIN SCI	0140-525X	1469-1825	16.6	16.6	PSYCHOLOGY, BIOLOGICAL	Q1	1	18
EUROPEAN RESPIRATORY JOURNAL	EUR RESPIR J	0903-1936	1399-3003	16.6	17.6	RESPIRATORY SYSTEM	Q1	4	100
NUCLEIC ACIDS RESEARCH	NUCLEIC ACIDS RES	0305-1048	1362-4962	16.6	16.1	BIOCHEMISTRY & MOLECULAR BIOLOGY	Q1	6	313
CIRCULATION RESEARCH	CIRC RES	0009-7330	1524-4571	16.5	20.3	PERIPHERAL VASCULAR DISEASE	Q1	2	96
NEURO-ONCOLOGY	NEURO-ONCOLOGY	1522-8517	1523-5866	16.4	14.9	ONCOLOGY	Q1	15	322
ACCOUNTS OF CHEMICAL RESEARCH	ACCOUNTS CHEM RES	0001-4842	1520-4898	16.4	20.2	CHEMISTRY, MULTIDISCIPLINARY	Q1	12	230
ACTA NUMERICA	ACTA NUMER	0962-4929	1474-0508	16.3	18.8	MATHEMATICS	Q1	1	489
PSYCHOTHERAPY AND PSYCHOSOMATICS	PSYCHOTHER PSYCHOSOM	0033-3190	1423-0348	16.3	17.5	PSYCHOLOGY	Q1	4	92
